"","restaurant_name","rating_review","review_id","title_review","review_full","date","city","author_id"
"345364","TAO_Uptown",5,"review_242199577","Book a tabel in advance","Here you get the best of club and eating. They have the laud music going all the time, and turn it into a night club in th night. The food was amazing. A lot of flavors and a helpful staff. Would go back.",2014-11-30,"New_York_City_New_York","UID_135027"
"177958","Fabio_Cucina_Italiana",5,"review_732278415","Excellent Meal","We recently dined at Fabrio on a Tuesday evening around 8:30 pm. We had just arrived in NYC and the restaurant was recommended by our hotel. This turned out to be an excellent choice. We were greeted and promptly seated. The wine and bread were excellent. They had a few risotto dishes but my wife wanted to know if they could make a risotto like she had in Florence which had bolognese sauce in it. The Executive Chef Chicco Asante said to give them a few minutes. The staff produced an excellent dish which replicated the risotto from Florence. My wife loved the dish. I had the ORECHIETTE ALLA BARESE (ear shaped pasta, spicy italian sausage, broccili rabe and oasted garlic and olive oil) which was fantastic. The service was excellent. This was a delicious meal and we really appreciated the chef accommadating our request. Well worth a visit.",2019-12-12,"New_York_City_New_York","UID_118714"
"71125","New_York_Luncheonette",3,"review_334713875","Solid choice for breakfast -- if staying nearby","I used to rave about this place. We stumbled upon it years ago and were smitten. An authentic, no-fuss diner with stained menus, decent prices and quick service. We loved it. But as the years have gone by, the menus have gotten glossier, the prices have gotten higher, and it just seems like any other NYC diner. The food is fine, the service is still fast. But it's no longer worth the 8-10 block walk for us to dine here. There are too many other similar restaurants. However, if you are staying nearby, it's worth a visit -- the prices, though higher, are still a lot cheaper than a hotel breakfast!",2015-12-23,"New_York_City_New_York","UID_54555"
"482105","Bustan_NYC",4,"review_591028992","so close to Excellent","It was hot on fathers day. We sat out back in the Garden. Sun had heated it up and the buildings blocked any air circulation. but enough with conditions. Food was excellent, and they did cater to my grand daughter's allergies. Service was very good.",2018-06-26,"New_York_City_New_York","UID_14544"
"86119","Cuba",5,"review_476859146","Great Neighborhood Cuban Cafe!","This cafe is a gem in the middle of the Village. Very small room and bar when you walk in and we were led into another small room for our dinner. Not sure if there are additional rooms or not. My husband, daughters and I went on a Saturday evening and there was live music and a man rolling complimentary cigars in the corner. Our server, Tony, was excellent and gave us great recommendations. For our appetizers, we shared empanadas and the crabmeat salad special. The filling on all the empanadas (chicken, beef and cheese) was plentiful and tasty. The outside was nice and flaky. The crabmeat salad was pretty big and also extremely tasty. Lots of chunks of real crab in it. For dinner, I had the ceviche mixto and was also packed with lots of seafood. Our other dishes were lechon and shredded beef. Huge portions! We also ordered black beans, yucca and sweet plantains. Lots of leftovers to take home! The mojitos were awesome as was the dark and stormy and mango martini. For dessert we shared a chocolate molten cake that was warm and had bittersweet chocolate. Our tres leches cake was good as well. This food IS definitely the real deal Cuban. Would definitely go back and would like to try for brunch too.",2017-04-18,"New_York_City_New_York","UID_32797"
"129735","Da_Marino_Restaurant",5,"review_615245683","Lucked into this one!","Just walking by and decided to take a look. They had a table and a piano player. Who could say no to that? Prices seemed slightly higher, but, as it turned out, portions were quite generous. My partner and I had lunch for the next day.  Really nice wine pour. Again, the per glass price seemed high, but probably better value than buying a bottle.  I had Rigatoni Buttera. Yumm!",2018-09-09,"New_York_City_New_York","UID_93327"
"30121","La_Lanterna_di_Vittorio",4,"review_197699114","Affordable Delicious Food in NYC!","If you want New York pizza eat here. It's real pizza. Just really, really good! The other dishes we got were tasty as well! Best of all it didn't break the bank. We had a nice table right in front of the dessert case. There are other tables with better ambience further back in the restaurant. It's beautiful back there with hanging lanterns and greenery. This is a more romantic setting, so since we were eating with our kids we opted for this table.",2014-03-17,"New_York_City_New_York","UID_26064"
"160363","Natsumi",4,"review_489333885","Great quality Sushi near Midtown","We have been looking for places around MIdtown where we can walk over and enjoy a high quality Sushi menu without paying the Nobu rates. If you are not after the ""Decor"" , Natsumi is offering first class Sushi with great selection and all served to perfection without having to pay the ""Branded"" rates. All dishes are just made to perfection , service is very attentive and you have an extensive Sake Menu. Highly recommended - as it is neat the Theater district , reservation is a must",2017-05-31,"New_York_City_New_York","UID_95734"
"296591","Locanda_Verde",5,"review_138218777","Excellent food!","Went here as part of a work function. We were in the private events room away from the main floor, thus I don't have general knowledge of the overall crowd, noise, regular service, etc. I do however have first hand knowledge of the food, which was outstanding! Everything was delicious... Duck Meatballs, Casarece, Wood-Fired Pork Chop, Rustic Potatoes, Spumani, etc.",2012-08-24,"New_York_City_New_York","UID_103448"
"457831","Bodega_Negra",5,"review_340577660","Delicious and Fun!","Some of the best Mexican food I have ever had and awesome drinks! I've tasted almost everything on the menu and have never been disappointed. The music is loud and fun, the lighting is dark and intimate.",2016-01-16,"New_York_City_New_York","UID_20051"
"175290","Zuma",5,"review_490333539","Fantastic ","Amazing Japanese food beautifully served.The dessert was incredible!Good service as well. Attentive service. Would recommend highly!",2017-06-04,"New_York_City_New_York","UID_9874"
"209507","Pershing_Square",4,"review_92763900","Friendly NYC!","I rarely have the whole family in NYC, but we trekked in to remember our days living in NY. With three children ages 6-13 we tried the food court at Grand Central, but it was packed. Without thinking that I was not on a business trip, we hoofed it across the street to the Pershing Square Cafe. With no reservation and a family of five with three kids, they were gracious and welcoming and found us a wonderful location to enjoy a luncheon. The waiter could not have been friendlier -- kind and generous to our children, helpful with suggestions, and gave us all the time we needed with a slower eater in the clan. The food was great and the atmosphere delightful for the holidays. Thank you!",2011-01-13,"New_York_City_New_York","UID_6010"
